"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"817",112366.825085837,267344.462432839,239850.017751169,21.9951555760803,23.4381029551762,22.7843076491215
"818",120070.834168603,312764.180504521,301204.308823254,20.6381325643678,22.2250638211001,21.4174331622196
"819",101251.649133545,227687.411268254,209387.73626885,22.2248789028605,23.5583073169484,22.987368129031
"820",121161.170890329,284644.092383549,272146.402245428,21.2532254565766,23.0383138270164,21.8419172412382
"821",112535.844865513,260310.93402464,249589.222944137,21.9958821502411,23.6281956077904,22.6325257272094
"822",103948.349690376,243546.391732971,219416.790089187,22.2477653755024,23.6573711567337,23.1884813187365
"823",98435.1424260747,236075.550101519,227192.385828754,22.0344006393966,23.3817385646624,22.3932492404057
"824",111256.818164719,282806.76162313,248147.294688112,21.7852762467505,23.1765387808471,22.6606176014078
"825",108605.113692863,283058.789835279,244588.941183475,21.8597955632748,23.4390550099905,22.5238755033114
"826",123243.23111743,341874.469085236,297538.172831345,20.6033112324826,22.163250917446,21.4123165346817
"827",126185.073855841,307980.593474529,268502.243351501,20.1219112991833,22.196550978098,21.1838866487396
"828",105837.575089411,254518.860219611,224794.751457592,21.7594333486113,23.0255122093898,22.8671340564435
"829",110450.152845947,274325.422997402,252896.226188754,21.2396983551575,22.880608158467,21.9822493310497
"830",136067.791081195,310490.397598278,288485.12354926,20.1889458891542,22.3710930058158,21.010671624363
"831",112868.757870284,299740.228109734,285025.577822427,20.2871806436154,22.1184979650752,20.9141725995327
"832",112793.665722551,264653.029640393,226750.338351726,21.930110769099,23.4961846682438,22.6609862944175
"833",111701.887174477,285843.119336889,259384.90702844,21.380166201716,23.2441151129657,21.9443949801066
"834",117314.095797699,267505.42029264,245830.638139546,21.6660080766903,23.3021243009336,22.3802647362405
"835",110317.082242995,251389.265960878,221588.354857064,22.3435282582535,23.794932912488,23.2577481930887
"836",110179.718616017,281540.415701211,255714.319258398,20.7168863403804,22.5378422207121,21.4255852368163
"837",114792.217694528,262021.470784283,229721.867335394,21.5700697849063,23.3958676230708,22.4167718923876
"838",115729.228496775,298106.326920522,256276.844489133,20.2389557059788,22.0636733458084,21.3198106327692
"839",113050.535195614,310005.648439593,304268.999160139,20.1974771921811,22.0260173835908,20.7375813313222
"840",116624.081912082,289642.070853005,261305.12456558,21.3842583827294,22.914841860012,22.1661364207322
"841",113379.30425783,304325.438314709,263848.590687997,20.3507508663335,21.9522833427765,21.4719993810579
"842",112569.744269397,299441.531207033,265923.614142796,20.7925066899619,22.5031277562449,21.7185977901016
"843",111012.925622388,267583.124727538,247035.885112963,21.5471849085252,23.2224534042873,22.3564780273743
"844",109240.56129322,269871.264773848,243508.198063866,21.095686783381,22.9068416742108,22.0125643858931
"845",116832.751819501,303961.226928017,293530.552524323,20.5623671210882,22.2943837623146,21.4229680801993
"846",107838.472318463,256542.674344858,228408.777049485,21.1672631474085,23.0172650886491,21.9538601732071
"847",106966.78262349,274910.519659756,248457.277088164,20.8814155410555,22.5260916022008,21.8734898333994
"848",121476.799931295,303684.058124304,283087.759654222,20.5528170138558,22.1814651928699,21.2740316006518
"849",107274.683293202,251175.2842792,221873.009245771,22.0480319947699,23.7429090712915,22.7726608053159
"850",127930.801504919,326929.415634157,308357.242509104,20.4758998406856,22.4130306166812,21.2077939785717
"851",107074.716743604,287832.542965978,260415.756780814,20.654509068171,22.2535927577731,21.6766996094448
"852",109793.692829814,288154.267997448,286079.442478417,21.2427384091106,22.9874469474857,21.6254403508955
"853",105507.90117545,225597.153966148,203695.300914632,22.6205232551599,24.1050163384272,23.4279608093867
"854",112044.263193904,262483.840410231,223900.165875288,22.0188511175087,23.59046298603,22.9157644420787
"855",112046.673943622,262350.074171281,227214.56923036,20.9231476839633,22.7115679913614,21.8654865334821
"856",112895.190230841,267760.455739118,243546.72652437,21.8090351724903,23.5082382338641,22.56945926973
"857",109947.158597785,292152.890097749,267903.255000601,20.101451190191,21.9930596689759,21.1389384854224
"858",109703.864191195,290134.467616656,258285.893468391,21.1096228943666,22.8180248916153,21.8417973657471
"859",105323.907925904,270380.913096886,234019.944763708,21.7839573790838,23.2581679818104,22.8316943450678
"860",121513.327249196,270192.166246954,249472.591961809,21.5410483342333,23.1417127817323,22.4307457225782
"861",106604.705969614,270109.875902444,255683.686983005,22.2413639149561,23.4912149473549,22.7866688145994
"862",105784.954580523,251297.987215268,229925.981178704,21.7827752194199,23.3240152883564,22.4584880988715
"863",110228.248140066,281675.219726454,240496.767586295,22.1101856522758,23.6708053064226,22.8435545610653
"864",108111.40474706,260036.59899103,228084.099590338,22.7533765097062,23.8603945774907,23.4998608090792
"865",115120.546652557,274753.238402015,251820.069473073,21.4803178030086,23.1338576677396,22.032082444193
"866",118987.346064104,277795.770189525,264795.077927102,21.7872751112689,23.5507969889927,22.2107252436089
"867",112099.456211435,290977.556208927,254603.952341052,21.2762569557919,22.9915468965458,22.0424154304946
"868",112075.640364155,264946.227981822,259818.843551718,20.9648028138504,22.5746012659404,21.7900753172799
"869",118559.00420819,252823.419839559,225703.257643072,21.7171311562141,23.257251729665,22.5833398676856
"870",94687.707663303,234223.296055277,213714.867418518,22.2194497936652,23.4526417001685,23.0133166443897
